iter	Passed	Remaining
0	0	68
1	1	63
2	2	71
3	3	67
4	4	67
5	5	64
6	5	62
7	7	68
8	8	66
9	9	65
10	10	64
11	11	62
12	14	74
13	15	72
14	16	71
15	17	69
16	18	66
17	18	64
18	19	62
19	20	61
20	21	59
21	21	57
22	22	56
23	23	54
24	24	53
25	25	52
26	26	51
27	26	50
28	27	48
29	28	47
30	29	46
31	30	45
32	31	44
33	31	43
34	32	41
35	34	41
36	34	40
37	35	39
38	36	38
39	37	37
40	37	36
41	38	35
42	39	33
43	40	32
44	41	31
45	41	30
46	42	30
47	43	28
48	44	27
49	45	27
50	45	26
51	46	25
52	47	24
53	48	23
54	49	22
55	50	21
56	51	20
57	52	19
58	53	18
59	53	17
60	55	17
61	56	16
62	56	15
63	57	14
64	58	13
65	59	12
66	60	11
67	61	10
68	62	9
69	63	9
70	64	8
71	64	7
72	65	6
73	66	5
74	67	4
75	68	3
76	69	2
77	70	1
78	70	0
79	71	0
